,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity
Aberfeldy,2,2,2,0,0,2,1,2,2,2,2
Aberlour,3,3,1,0,0,4,3,2,2,3,3
AnCnoc,1,3,2,0,0,2,0,0,2,2,3
Ardbeg,4,1,4,4,0,0,2,0,1,2,1
Ardmore,2,2,2,0,0,1,1,1,2,3,1
ArranIsleOf,2,3,1,1,0,1,1,1,0,1,1
Auchentoshan,0,2,0,0,0,1,1,0,2,2,3
Auchroisk,2,3,1,0,0,2,1,2,2,2,2
Aultmore,2,2,1,0,0,1,0,0,2,2,2
Balblair,2,3,2,1,0,0,2,0,2,1,2
Balmenach,4,3,2,0,0,2,1,3,3,0,1
Belvenie,3,2,1,0,0,3,2,1,0,2,2
BenNevis,4,2,2,0,0,2,2,0,2,2,2
Benriach,2,2,1,0,0,2,2,0,0,2,3
Benrinnes,3,2,2,0,0,3,1,1,2,3,2
Benromach,2,2,2,0,0,2,2,1,2,2,2
Bladnoch,1,2,1,0,0,0,1,1,0,2,2
BlairAthol,2,2,2,0,0,1,2,2,2,2,2
Bowmore,2,2,3,1,0,2,2,1,1,1,1
Bruichladdich,1,1,2,2,0,2,2,1,2,2,2
Bunnahabhain,1,2,1,1,0,1,1,1,1,2,2
Caol Ila,3,1,4,2,1,0,2,0,2,1,1
Cardhu,1,3,1,0,0,1,1,0,2,2,2
Clynelish,3,2,3,3,1,0,2,0,1,1,2
Craigallechie,2,2,2,0,1,2,2,1,2,2,1
Craigganmore,2,3,2,1,0,0,1,0,2,2,2
Dailuaine,4,2,2,0,0,1,2,2,2,2,2
Dalmore,3,2,2,1,0,1,2,2,1,2,3
Dalwhinnie,2,2,2,0,0,2,1,0,1,2,2
Deanston,2,2,1,0,0,2,1,1,1,3,2
Dufftown,2,3,1,1,0,0,0,0,1,2,2
Edradour,2,3,1,0,0,2,1,1,4,2,2
GlenDeveronMacduff,2,3,1,1,1,1,1,2,0,2,0
GlenElgin,2,3,1,0,0,2,1,1,1,1,2
GlenGarioch,2,1,3,0,0,0,3,1,0,2,2
GlenGrant,1,2,0,0,0,1,0,1,2,1,2
GlenKeith,2,3,1,0,0,1,2,1,2,1,2
GlenMoray,1,2,1,0,0,1,2,1,2,2,2
GlenOrd,3,2,1,0,0,1,2,1,1,2,2
GlenScotia,2,2,2,2,0,1,0,1,2,2,1
GlenSpey,1,3,1,0,0,0,1,1,1,2,0
Glenallachie,1,3,1,0,0,1,1,0,1,2,2
Glendronach,4,2,2,0,0,2,1,4,2,2,2
Glendullan,3,2,1,0,0,2,1,2,1,2,3
Glenfarclas,2,4,1,0,0,1,2,3,2,3,2
Glenfiddich,1,3,1,0,0,0,0,0,0,2,2
Glengoyne,1,2,0,0,0,1,1,1,2,2,3
Glenkinchie,1,2,1,0,0,1,2,0,0,2,2
Glenlivet,2,3,1,0,0,2,2,2,1,2,2
Glenlossie,1,2,1,0,0,1,2,0,1,2,2
Glenmorangie,2,2,1,1,0,1,2,0,2,1,2
Glenrothes,2,3,1,0,0,1,1,2,1,2,2
Glenturret,2,3,1,0,0,2,2,2,2,2,1
Highland Park,2,2,3,1,0,2,1,1,1,2,1
Inchgower,1,3,1,1,0,2,2,0,1,2,1
Isle of Jura,2,1,2,2,0,1,1,0,2,1,1
Knochando,2,3,1,0,0,2,2,1,2,1,2
Lagavulin,4,1,4,4,1,0,1,2,1,1,1
Laphroig,4,2,4,4,1,0,0,1,1,1,0
Linkwood,2,3,1,0,0,1,1,2,0,1,3
Loch Lomond,1,1,1,1,0,1,1,0,1,2,1
Longmorn,3,2,1,0,0,1,1,1,3,3,2
Macallan,4,3,1,0,0,2,1,4,2,2,3
Mannochmore,2,1,1,0,0,1,1,1,2,1,2
Miltonduff,2,4,1,0,0,1,0,0,2,1,1
Mortlach,3,2,2,0,0,2,3,3,2,1,2
Oban,2,2,2,2,0,0,2,0,2,2,2
OldFettercairn,1,2,2,0,1,2,2,1,2,3,1
OldPulteney,2,1,2,2,1,0,1,1,2,2,2
RoyalBrackla,2,3,2,1,1,1,2,1,0,2,3
RoyalLochnagar,3,2,2,0,0,2,2,2,2,2,3
Scapa,2,2,1,1,0,2,1,1,2,2,2
Speyburn,2,4,1,0,0,2,1,0,0,2,1
Speyside,2,2,1,0,0,1,0,1,2,2,2
Springbank,2,2,2,2,0,2,2,1,2,1,0
Strathisla,2,2,1,0,0,2,2,2,3,3,3
Strathmill,2,3,1,0,0,0,2,0,2,1,3
Talisker,4,2,3,3,0,1,3,0,1,2,2
Tamdhu,1,2,1,0,0,2,0,1,1,2,2
Tamnavulin,1,3,2,0,0,0,2,0,2,1,2
Teaninich,2,2,2,1,0,0,2,0,0,0,2
Tobermory,1,1,1,0,0,1,0,0,1,2,2
Tomatin,2,3,2,0,0,2,2,1,1,2,0
Tomintoul,0,3,1,0,0,2,2,1,1,2,1
Tormore,2,2,1,0,0,1,0,1,2,1,0
Tullibardine,2,3,0,0,1,0,2,1,1,2,2
